filename,filepath,mask_filename,mask_filepath,extra_masks,class,is_negative,split
benign (1).png,dataset/benign/benign (1).png,benign (1)_mask.png,dataset/benign/benign (1)_mask.png,[],benign,False,train
benign (10).png,dataset/benign/benign (10).png,benign (10)_mask.png,dataset/benign/benign (10)_mask.png,[],benign,False,test
benign (100).png,dataset/benign/benign (100).png,benign (100)_mask.png,dataset/benign/benign (100)_mask.png,['dataset/benign/benign (100)_mask_1.png'],benign,False,train
benign (101).png,dataset/benign/benign (101).png,benign (101)_mask.png,dataset/benign/benign (101)_mask.png,[],benign,False,train
benign (102).png,dataset/benign/benign (102).png,benign (102)_mask.png,dataset/benign/benign (102)_mask.png,[],benign,False,train
benign (103).png,dataset/benign/benign (103).png,benign (103)_mask.png,dataset/benign/benign (103)_mask.png,[],benign,False,val
benign (104).png,dataset/benign/benign (104).png,benign (104)_mask.png,dataset/benign/benign (104)_mask.png,[],benign,False,test
benign (105).png,dataset/benign/benign (105).png,benign (105)_mask.png,dataset/benign/benign (105)_mask.png,[],benign,False,train
benign (106).png,dataset/benign/benign (106).png,benign (106)_mask.png,dataset/benign/benign (106)_mask.png,[],benign,False,train
benign (107).png,dataset/benign/benign (107).png,benign (107)_mask.png,dataset/benign/benign (107)_mask.png,[],benign,False,train
benign (108).png,dataset/benign/benign (108).png,benign (108)_mask.png,dataset/benign/benign (108)_mask.png,[],benign,False,val
benign (109).png,dataset/benign/benign (109).png,benign (109)_mask.png,dataset/benign/benign (109)_mask.png,[],benign,False,train
benign (11).png,dataset/benign/benign (11).png,benign (11)_mask.png,dataset/benign/benign (11)_mask.png,[],benign,False,train
benign (110).png,dataset/benign/benign (110).png,benign (110)_mask.png,dataset/benign/benign (110)_mask.png,[],benign,False,val
benign (111).png,dataset/benign/benign (111).png,benign (111)_mask.png,dataset/benign/benign (111)_mask.png,[],benign,False,test
benign (112).png,dataset/benign/benign (112).png,benign (112)_mask.png,dataset/benign/benign (112)_mask.png,[],benign,False,test
