normal_proportion,n_normal,n_positive,ranking_inversion_rate,mean_reported_dice_a,mean_reported_dice_b,ci_95_a_low,ci_95_a_high,ci_95_b_low,ci_95_b_high,model_a_true_dice,model_b_true_dice,model_a_fp_rate,model_b_fp_rate
0.0,0,780,0.0,0.7480951536626561,0.5888055905073604,0.7445395016646956,0.7516551320357603,0.5857811156914733,0.592512969876689,0.7482,0.5887,0.8,0.3
0.05,39,741,0.0,0.7207505097110318,0.5941837006665862,0.7144545406763584,0.7276708567126522,0.5860748487177656,0.6002535826670662,0.7482,0.5887,0.8,0.3
0.1,78,702,0.0,0.6930021685311181,0.599518917692533,0.6840262346156828,0.7028568065373542,0.5872954210104322,0.6116329354930063,0.7482,0.5887,0.8,0.3
0.15,117,663,0.0,0.666114818690707,0.6055713844270685,0.653829094472994,0.6790565574887686,0.5921330634748238,0.6173815550821456,0.7482,0.5887,0.8,0.3
0.17,132,648,0.0,0.6553776173578956,0.6072580367239019,0.6432894315861445,0.6674861999387407,0.5936395105655105,0.6197399882999218,0.7482,0.5887,0.8,0.3
0.2,156,624,0.005,0.6381147897576092,0.6102152738138369,0.6279775953404277,0.6510493882415009,0.5933372392345165,0.6247405729351767,0.7482,0.5887,0.8,0.3
0.25,195,585,0.68,0.611432189220679,0.6164701575536587,0.5978045023624264,0.6243902661552406,0.601223268641434,0.6330818611255227,0.7482,0.5887,0.8,0.3
0.3,234,546,0.995,0.5836622171820219,0.6218164562178802,0.5697597186810642,0.5994138356238666,0.6038552869687054,0.637707039917164,0.7482,0.5887,0.8,0.3
0.35,273,507,1.0,0.555685247999006,0.6273638120475712,0.539667235912183,0.569385979930308,0.6087822537888916,0.6440076551473821,0.7482,0.5887,0.8,0.3
0.4,312,468,1.0,0.5291551646048674,0.6331883577684594,0.5123356691112426,0.5477938666515862,0.6122423105952072,0.6516873228114137,0.7482,0.5887,0.8,0.3
0.5,390,390,1.0,0.47333745626546486,0.6422332649681127,0.45658786231472204,0.49386402764779425,0.6160810612372818,0.6622327596151322,0.7482,0.5887,0.8,0.3
